,0,1,2,3,4,mean,std
2,0.011085469,0.009404392,0.020385538,0.019748837,0.021619037,0.016448654,0.005128519
6,0.003752404,0.004262819,0.004420599,0.003364938,0.004091953,0.003978543,0.000378613
10,0.003568252,0.003291082,0.002828491,0.003643064,0.003053121,0.003276802,0.000306696
14,0.00332916,0.002903925,0.002284719,0.002607651,0.003083091,0.002841709,0.000364627
18,0.00218786,0.002638508,0.002237225,0.002915064,0.002220535,0.002439839,0.000289119
22,0.002361644,0.002940126,0.00187473,0.002256786,0.002320617,0.002350781,0.000341706
24,0.001952488,0.002686131,0.002887066,0.002958612,0.002310163,0.002558892,0.000377692
28,0.002577286,0.00181906,0.002247057,0.002194662,0.003356616,0.002438936,0.000518075
32,0.002300943,0.002533408,0.002566893,0.002692174,0.001995054,0.002417694,0.00024627
36,0.003332894,0.0035827,0.002607531,0.008538549,0.002607329,0.004133801,0.002236363
40,0.003992097,0.003132833,0.002692168,0.002721194,0.002270899,0.002961838,0.000582872
44,0.002836907,0.002360839,0.002284536,0.002623574,0.002695998,0.002560371,0.000207248
48,0.002282023,0.002910952,0.003610942,0.003309134,0.003191302,0.003060871,0.000449512
52,0.003770241,0.002460238,0.00400871,0.003264814,0.002601298,0.00322106,0.000614306
56,0.00299833,0.002792725,0.003289083,0.003188024,0.004629988,0.00337963,0.000647789
60,0.003446875,0.002885225,0.004374742,0.003006031,0.003077811,0.003358137,0.000541769
64,0.003307086,0.003681735,0.004240059,0.002657397,0.002872723,0.0033518,0.000567727
68,0.003312071,0.003911987,0.005410238,0.002434812,0.003754018,0.003764625,0.000969853
72,0.004293448,0.003514527,0.003408632,0.004484098,0.009727482,0.005085637,0.002358681
76,0.003260535,0.003399784,0.003121656,0.005129547,0.00509353,0.004001011,0.000911069
