,0,1,2,3,4,mean,std
2,0.996088314,0.996910101,0.99497326,0.996842053,0.996326844,0.996228114,0.000699425
6,0.997878094,0.997707011,0.998014593,0.997899465,0.997794562,0.997858745,0.000103406
10,0.998096102,0.998260171,0.998103513,0.998183349,0.998035411,0.998135709,7.80E-05
14,0.998507679,0.998475272,0.998329936,0.998111721,0.998478723,0.998380666,0.000148056
18,0.998033519,0.998385996,0.998414975,0.998398819,0.998179761,0.998282614,0.00015122
22,0.998045454,0.998191001,0.9982319,0.998048175,0.998289678,0.998161242,9.86E-05
26,0.998219945,0.99734315,0.997731624,0.997758638,0.997941988,0.997799069,0.000286918
30,0.997456886,0.997920994,0.998603269,0.997898444,0.997849578,0.997945834,0.000369708
34,0.99788992,0.99730697,0.99770253,0.99782572,0.99793776,0.99773258,0.00022697
38,0.99744621,0.99674392,0.99651068,0.99764024,0.99781703,0.99723162,0.00051251
42,0.99295821,0.99371225,0.83595273,0.37689964,0.46914859,0.73373428,0.26175208
46,0.99164162,0.99410744,0.99525789,0.78792145,0.99449717,0.95268511,0.08239074
50,0.99251761,0.25488155,0.51775253,0.55911357,0.98941359,0.66273577,0.28760293
54,0.16117564,0.61721729,0.98329228,0.91749354,0.8290545,0.70164665,0.29711416
58,0.08148395,0.3787585,0.16523195,0.69524813,0.62309365,0.38876324,0.24221091
62,0.40795924,0.46907879,0.68098752,0.97598184,0.42727245,0.59225597,0.21516333
66,0.83345912,0.67097623,0.84800346,0.7112916,0.18996846,0.65073977,0.24028548
70,0.25161418,0.78399962,0.30897188,0.38302785,0.4577051,0.43706372,0.18682051
