,0,1,2,3,4,mean,std
2,0.064474023,0.077959088,0.071248302,0.082780479,0.078254075,0.074943193,0.006399005
6,0.035137453,0.037935348,0.03782583,0.034022765,0.033964731,0.035777225,0.001767872
10,0.026265798,0.033893602,0.029869989,0.034177475,0.030619657,0.030965304,0.002908523
14,0.025836587,0.028750123,0.062635322,0.026650275,0.02570628,0.033915717,0.014401062
18,0.028558366,0.031621125,0.03809674,0.034274403,0.026407231,0.031791573,0.004132636
22,0.024225474,0.026335314,0.03060407,0.028241377,0.037620584,0.029405364,0.004616017
26,0.035411229,0.049690443,0.032261719,0.034841336,0.032247714,0.036890488,0.006530037
30,0.04461118,0.053195423,0.04025338,0.057958342,0.039803268,0.047164319,0.007229797
34,0.04521888,0.0730933,0.07540317,0.05018883,0.07582159,0.06394515,0.01338607
38,0.05246873,0.07638111,0.06952804,0.06460368,1.09941277,0.27247887,0.41354071
42,0.05753293,0.05334372,0.06242022,0.09025531,0.20672226,0.09405489,0.05779339
46,0.08554639,0.06130988,0.11546569,0.10663975,0.07215117,0.08822258,0.02035252
50,0.08839485,0.29947812,1.37716476,0.11485228,1.72746777,0.72147156,0.6912038
54,1.31002037,0.1782716,0.08671686,0.05895696,0.08089736,0.34297263,0.48524697
58,0.06716569,1.3679169,0.1807857,1.58293116,0.15276382,0.67031266,0.66193714
62,0.08911287,1.38862398,1.37497893,0.14309411,1.41760472,0.88268292,0.62629356
66,1.50782284,1.36924582,0.67247275,1.6171523,1.46377447,1.32609364,0.3363864
70,0.23647434,1.37139042,1.37312708,0.14105011,2.18172278,1.06075295,0.77148365
