,0,1,2,3,4,mean,std
2,0.14775646,0.152012364,0.136003932,0.150444487,0.140865023,0.145416453,0.006059272
6,0.131322629,0.138471382,0.134522507,0.134875535,0.128348856,0.133508182,0.003432992
10,0.132856429,0.153329895,0.136296164,0.133877623,0.132093898,0.137690802,0.007946862
14,0.137277562,0.147861462,0.148733904,0.137246869,0.143609473,0.142945854,0.004954051
18,1.563143891,1.549068692,0.205510933,0.148975797,0.174015196,0.728142902,0.676281307
22,1.921153853,1.555095652,1.795647207,2.171655805,0.248380805,1.538386664,0.674998936
26,1.779137233,1.668190161,1.60528442,1.779903267,1.609111406,1.688325297,0.07772951
30,0.204087105,1.985845996,2.63147531,1.742701511,1.562826239,1.625387232,0.797485337
34,0.24242777,2.2181794,1.62853315,1.58158589,2.34330991,1.60280722,0.74548931
38,1.32610882,1.8679639,1.62877092,1.78879461,1.83093911,1.68851547,0.19872098
42,2.48330995,1.80812489,0.97937123,1.80439866,1.62574787,1.74019052,0.480189
46,1.7271102,1.59535491,1.8398077,1.99847503,1.80403078,1.79295573,0.132618
50,1.82778313,0.57846529,1.76024572,1.90043126,1.86474926,1.58633493,0.50606609
54,2.21780731,1.34542632,2.69539158,1.8310239,1.74358245,1.96664631,0.45786826
58,1.57955423,1.90597128,1.66564258,2.59788185,1.96492535,1.94279506,0.35769871
62,2.29344771,2.00640187,1.8855076,1.88963788,1.8861668,1.99223237,0.15754185
66,1.80036288,1.86948755,2.25298414,1.94964728,1.88336803,1.95116998,0.15818092
70,2.23796867,2.04036442,2.41103338,2.74364359,2.40558816,2.36771964,0.23178683
