,0,1,2,3,4,mean,std
2,0.999538824,0.999396444,0.999597767,0.999501014,0.999450952,0.999497,6.95E-05
6,0.999902088,0.999900932,0.999800534,0.999849098,0.999803205,0.999851171,4.46E-05
10,0.999817948,0.99963362,0.999838219,0.999843143,0.999830684,0.999792723,8.00E-05
14,0.999545445,0.999759668,0.999664924,0.999698473,0.999760213,0.999685744,7.91E-05
18,0.999745424,0.999127057,0.999689671,0.999256704,0.999705298,0.999504831,0.00025943
22,0.999154954,0.67033093,0.999477949,0.999387726,0.999650434,0.933600399,0.131634831
26,0.999174863,0.999479484,0.999403433,0.775350546,0.999321935,0.954546052,0.08959781
30,0.647267697,0.999335568,0.66270807,0.577312326,0.673463675,0.712017467,0.147517803
34,0.99896256,0.998248,0.99899332,0.99883344,0.99859194,0.99872585,0.00027764
38,0.99501445,0.99740195,0.99901016,0.99865297,0.77541311,0.95309853,0.08885373
42,0.9975142,0.99839198,0.99851013,0.99770527,0.99863463,0.99815124,0.0004528
46,0.99632959,0.99852826,0.99763028,0.99870439,0.99876239,0.99799098,0.00092553
50,0.99853056,0.77443543,0.99842098,0.99814154,0.99639237,0.95318418,0.08937773
54,0.59823187,0.9985457,0.99800545,0.99689409,0.99726478,0.91778838,0.15977928
58,0.99741965,0.49975914,0.99771582,0.98364979,0.64082238,0.82387335,0.21186114
62,0.9982121,0.6509498,0.99547492,0.99592996,0.6551122,0.8591358,0.16829156
66,0.42538463,0.59461946,0.69082936,0.57745473,0.3734161,0.53234086,0.1163866
70,0.14554977,0.6669661,0.99798206,0.32838356,0.76681151,0.5811386,0.30634033
